Office Name,Vote Totals,variable,value
Representative in Congress 05,93168,"Bruce W. Walczak, Independent Party",1399
Representative in Congress 05,93168,"David X. Sullivan, Republican Party",38770
Representative in Congress 05,93168,"Jahana Hayes, Democratic Party",50686
Representative in Congress 05,93168,"Jahana Hayes, Working Families Party",2313
Representative in Congress 03,89685,"Justin C. Paglino, Green Party",1214
Representative in Congress 03,89685,"Margaret Streicker, Independent Party",1408
Representative in Congress 03,89685,"Margaret Streicker, Republican Party",37981
Representative in Congress 03,89685,"Rosa L. DeLauro, Democratic Party",47431
Representative in Congress 03,89685,"Rosa L. DeLauro, Working Families Party",1651
Representative in Congress 02,82707,"Cassandra Martineau, Green Party",956
Representative in Congress 02,82707,"Daniel Reale, Libertarian Party",847
Representative in Congress 02,82707,"Joe Courtney, Democratic Party",44989
Representative in Congress 02,82707,"Joe Courtney, Working Families Party",2308
Representative in Congress 02,82707,"John M. Traceski, Write In",2
Representative in Congress 02,82707,"Justin Anderson, Republican Party",33605
Representative in Congress 04,18912,"Brian Merlen, Independent Party",241
Representative in Congress 04,18912,"Jim Himes, Democratic Party",11063
Representative in Congress 04,18912,"Jonathan Riddle, Republican Party",7608
Representative in Congress 04,18912,"Yusheng Peng, Write In",0
Representative in Congress 01,4938,"John B. Larson, Democratic Party",2153
Representative in Congress 01,4938,"John B. Larson, Working Families Party",167
Representative in Congress 01,4938,"Mary Fay, Republican Party",2534
Representative in Congress 01,4938,"Thomas E. McCormick, Green Party",84
