Office Name,Vote Totals,variable,value
Representative in Congress 02,350918,"Cassandra Martineau, Green Party",4647
Representative in Congress 02,350918,"Daniel Reale, Libertarian Party",3737
Representative in Congress 02,350918,"Joe Courtney, Democratic Party",198076
Representative in Congress 02,350918,"Joe Courtney, Working Families Party",10275
Representative in Congress 02,350918,"John M. Traceski, Write In",7
Representative in Congress 02,350918,"Justin Anderson, Republican Party",134176
Representative in Congress 03,305905,"Justin C. Paglino, Green Party",4212
Representative in Congress 03,305905,"Margaret Streicker, Independent Party",5387
Representative in Congress 03,305905,"Margaret Streicker, Republican Party",125507
Representative in Congress 03,305905,"Rosa L. DeLauro, Democratic Party",163417
Representative in Congress 03,305905,"Rosa L. DeLauro, Working Families Party",7382
Representative in Congress 05,327941,"Bruce W. Walczak, Independent Party",4573
Representative in Congress 05,327941,"David X. Sullivan, Republican Party",142900
Representative in Congress 05,327941,"Jahana Hayes, Democratic Party",172633
Representative in Congress 05,327941,"Jahana Hayes, Working Families Party",7835
Representative in Congress 01,329815,"John B. Larson, Democratic Party",206578
Representative in Congress 01,329815,"John B. Larson, Working Families Party",9266
Representative in Congress 01,329815,"Mary Fay, Republican Party",109726
Representative in Congress 01,329815,"Thomas E. McCormick, Green Party",4245
Representative in Congress 04,298119,"Brian Merlen, Independent Party",4434
Representative in Congress 04,298119,"Jim Himes, Democratic Party",181546
Representative in Congress 04,298119,"Jonathan Riddle, Republican Party",112132
Representative in Congress 04,298119,"Yusheng Peng, Write In",7
