percentage,Town,Reported,Total Precincts
45.01%,Andover,1,1
79.32%,Ansonia,7,7
85.92%,Ashford,1,1
0.00%,Avon,,
82.43%,Barkhamsted,1,1
0.00%,Beacon Falls,,
84.84%,Berlin,5,5
88.16%,Bethany,1,1
0.00%,Bethel,5,5
82.61%,Bethlehem,1,1
0.00%,Bloomfield,5,5
89.19%,Bolton,1,1
81.12%,Bozrah,1,1
79.32%,Branford,7,7
0.00%,Bridgeport,,
87.20%,Bridgewater,1,1
0.00%,Bristol,,
67.31%,Brookfield,2,2
81.04%,Brooklyn,1,1
91.85%,Burlington,1,1
87.95%,Canaan,1,1
81.50%,Canterbury,1,1
85.40%,Canton,1,1
82.64%,Chaplin,1,1
0.00%,Cheshire,,
88.57%,Chester,1,1
0.00%,Clinton,,
89.35%,Colchester,4,4
89.64%,Colebrook,1,1
87.48%,Columbia,1,1
90.22%,Cornwall,1,1
84.54%,Coventry,2,2
80.88%,Cromwell,1,1
70.62%,Danbury,19,19
0.00%,Darien,7,7
0.00%,Deep River,,
81.86%,Derby,3,3
0.00%,Durham,,
82.66%,Eastford,1,1
84.79%,East Granby,,
83.04%,East Haddam,,
87.54%,East Hampton,,
0.00%,East Hartford,,
76.51%,East Haven,,
87.06%,East Lyme,,
0.00%,Easton,,
64.49%,East Windsor,,
86.83%,Ellington,2,2
0.00%,Enfield,,
84.84%,Essex,1,1
0.00%,Fairfield,,
79.89%,Farmington,7,7
89.51%,Franklin,1,1
88.66%,Glastonbury,7,7
88.85%,Goshen,2,2
88.41%,Granby,2,2
0.00%,Greenwich,,
75.02%,Griswold,6,6
83.61%,Groton,7,7
89.82%,Guilford,5,5
86.02%,Haddam,3,3
79.83%,Hamden,13,13
86.02%,Hampton,1,1
47.99%,Hartford,24,24
86.55%,Hartland,1,1
86.77%,Harwinton,2,2
0.00%,Hebron,,
89.98%,Kent,1,1
72.69%,Killingly,5,5
87.63%,Killingworth,1,1
0.00%,Lebanon,,
0.00%,Ledyard,,
87.45%,Lisbon,2,2
86.62%,Litchfield,4,4
88.17%,Lyme,1,1
0.00%,Madison,,
0.00%,Manchester,,
73.50%,Mansfield,4,4
87.23%,Marlborough,1,1
76.32%,Meriden,13,13
84.36%,Middlebury,2,2
83.74%,Middlefield,1,1
77.94%,Middletown,14,14
0.00%,Milford,,
86.39%,Monroe,4,4
81.29%,Montville,6,6
0.00%,Morris,,
72.93%,Naugatuck,9,9
0.00%,New Britain,,
0.00%,New Canaan,,
0.00%,New Fairfield,,
87.73%,New Hartford,,
56.26%,New Haven,,
0.00%,Newington,,
54.96%,New London,,
81.78%,New Milford,,
89.99%,Newtown,6,6
88.22%,Norfolk,1,1
84.37%,North Branford,,
69.68%,North Canaan,,
85.16%,North Haven,,
75.79%,North Stonington,,
0.00%,Norwalk,,
76.69%,Norwich,6,6
0.00%,Old Lyme,,
80.82%,Old Saybrook,,
88.26%,Orange,3,3
87.37%,Oxford,1,1
81.73%,Plainfield,5,5
84.10%,Plainville,4,4
0.00%,Plymouth,,
85.98%,Pomfret,1,1
0.00%,Portland,,
86.61%,Preston,1,1
88.89%,Prospect,2,2
69.90%,Putnam,2,2
84.84%,Redding,4,4
83.69%,Ridgefield,4,4
83.65%,Rocky Hill,,
87.96%,Roxbury,1,1
88.65%,Salem,1,1
85.60%,Salisbury,1,1
79.63%,Scotland,1,1
81.82%,Seymour,3,3
87.44%,Sharon,2,2
81.28%,Shelton,5,5
82.63%,Sherman,1,1
85.06%,Simsbury,4,4
87.94%,Somers,1,1
0.00%,Southbury,,
82.20%,Southington,11,11
83.57%,South Windsor,,
79.40%,Sprague,1,1
85.72%,Stafford,3,3
0.00%,Stamford,,
71.30%,Sterling,1,1
83.35%,Stonington,5,5
0.00%,Stratford,19,19
87.23%,Suffield,1,1
83.57%,Thomaston,1,1
76.69%,Thompson,4,4
85.35%,Tolland,3,3
0.00%,Torrington,,
0.00%,Trumbull,,
86.48%,Union,1,1
83.61%,Vernon,4,4
85.68%,Voluntown,1,1
0.00%,Wallingford,,
84.00%,Warren,1,1
0.00%,Washington,,
63.26%,Waterbury,21,21
86.77%,Waterford,4,4
84.63%,Watertown,4,4
87.41%,Westbrook,2,2
0.00%,West Hartford,,
77.92%,West Haven,,
86.71%,Weston,2,2
86.48%,Westport,7,7
0.00%,Wethersfield,,
85.98%,Willington,1,1
84.59%,Wilton,4,4
80.10%,Winchester,1,1
0.00%,Windham,,
80.79%,Windsor,7,7
79.44%,Windsor Locks,,
78.89%,Wolcott,3,3
87.96%,Woodbridge,2,2
0.00%,Woodbury,,
0.00%,Woodstock,,
75.32%,Total,,
